"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Pekela"
"Nummer";"";"0765"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"OBS Feiko Clock";"Gemeentehuis";"Brede school De Groenling";"Dollard College (Pekela)";"Dorpshuis De Kiepe";"Zorgcentrum Clockstede";"Dorpshuis de Riggel"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7"
"Postcode";"";"";"";"";"9665 HT";"9665 JD";"9665 HS";"9665 RA";"9663 EG";"9663 CW";"9663 TT"
"";"";"34";"van Gemert, N.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Dijk, J.P.";"30";"8";"3";"7";"5";"3";"2";"2"
"";"";"36";"de Vos, A.";"3";"0";"0";"0";"1";"2";"0";"0"
"";"";"37";"Bekkering, I.H.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Staarink, I.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Müller, G.J.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Feenstra, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Olierook, M.W.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"42";"ten Heuw, M.A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Helmer-Englebert, R.D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Vliegenthart, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Gijlswijk, L.R.";"7";"3";"0";"0";"1";"3";"0";"0"
"";"";"46";"Schut, E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"Rozema, H.F.";"11";"2";"1";"1";"4";"3";"0";"0"
"";"";"48";"de Koe, H.E.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Futselaar, J.E.L.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"50";"Poppe, R.J.L.";"3";"1";"1";"0";"1";"0";"0";"0"
