LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17,Sb 18
,,18,"Popken, G.J.F. (Gabriëlle) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"Kops, A. (Alexander) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"van Aalst, R.R. (Roy) (m)",3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"van Dijk, E. (Emiel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Housmans, R.W.P.E. (Robert) (m)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,23,"Jansen, C.A. (Chris) (m)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"de Vree, J.H. (Henk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"Aardema, M. (Max) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"van Dijk, A.J.A. (Toon) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"de Winter, D. (Daniëlle) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Bezaan, I.A. (Ilse) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"Kardol, J.C. (Joyce) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Vlottes, E. (Elmar) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,31,"de Jong, R.G.J. (Rob) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"van Pijkeren, J. (An) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Rijken, J.J. (Jeffrey) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"IJssennagger, H. (Han) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"van Deún, H. (Henk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Vermeer, T.F. (Tim) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Buitelaar, O.S.J. (Olaf) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Dulfer, T.F. (Tessa) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Boon, M.C.H. (Maikel) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,40,"Braam, E.G.T. (Ed) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Ludriks, M.S. (Menno) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"Choenni, N.A. (Nathalie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"Roks, L.A.G. (Louis) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"Thiadens, F.M. (Folkert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Hees, E.P.G. (Elias) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Kooman, C.V.A. (Caroline) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"van der Sluijs, D.J. (Dannij) (m)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"van Hattem, A.W.J.A. (Alexander) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,49,"Stuger, O.F. (Olaf) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"van Strien, G.A. (Gom) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SP (Socialistische Partij),1,"Roemer, E.G.M. (Emile) (m)",942,69,77,46,38,15,62,36,77,34,59,88,61,38,87,12,63,74,6
